date,athlete,position,energy (J/kg),min_from_start,duration_min,energy_per_min,from_time,score_diff
match1,athlete1,WM,3838,5.0,5.0,767.6,0.0,0
match1,athlete1,WM,2553,10.0,5.0,510.6,5.0,0
match1,athlete1,WM,2186,15.0,5.0,437.2,10.0,0
match1,athlete1,WM,1785,20.0,5.0,357.0,15.0,0
match1,athlete1,WM,3053,25.0,5.0,610.6,20.0,1
match1,athlete1,WM,2875,30.0,5.0,575.0,25.0,1
match1,athlete1,WM,2414,35.0,5.0,482.8,30.0,1
match1,athlete1,WM,3109,40.0,5.0,621.8,35.0,1
match1,athlete1,WM,2425,45.0,5.0,485.0,40.0,1
match1,athlete1,WM,1053,46.0,1.0,1053.0,45.0,1
match1,athlete1,WM,3391,51.0,5.0,678.2,46.0,1
match1,athlete1,WM,1913,56.0,5.0,382.6,51.0,1
match1,athlete1,WM,3549,61.0,5.0,709.8,56.0,2
match1,athlete1,WM,2281,66.0,5.0,456.2,61.0,2
match1,athlete1,WM,2393,71.0,5.0,478.6,66.0,2
match1,athlete1,WM,1944,76.0,5.0,388.8,71.0,2
match1,athlete1,WM,1892,81.0,5.0,378.4,76.0,2
match1,athlete1,WM,1868,86.0,5.0,373.6,81.0,2
match1,athlete1,WM,2236,91.0,5.0,447.2,86.0,2
match1,athlete1,WM,1980,96.0,5.0,396.0,91.0,2
match1,athlete1,WM,178,97.0,1.0,178.0,96.0,2
match2,athlete1,WM,4025,5.0,5.0,805.0,0.0,0
match2,athlete1,WM,3325,10.0,5.0,665.0,5.0,0
match2,athlete1,WM,2673,15.0,5.0,534.6,10.0,0
match2,athlete1,WM,2005,20.0,5.0,401.0,15.0,0
match2,athlete1,WM,2650,25.0,5.0,530.0,20.0,0
match2,athlete1,WM,3105,30.0,5.0,621.0,25.0,0
match2,athlete1,WM,2872,35.0,5.0,574.4,30.0,0
match2,athlete1,WM,1941,40.0,5.0,388.2,35.0,0
match2,athlete1,WM,2198,45.0,5.0,439.6,40.0,0
match2,athlete1,WM,1804,50.0,5.0,360.8,45.0,0
match2,athlete1,WM,2610,55.0,5.0,522.0,50.0,0
match2,athlete1,WM,1464,60.0,5.0,292.8,55.0,0
match2,athlete1,WM,3329,65.0,5.0,665.8,60.0,0
match2,athlete1,WM,2258,70.0,5.0,451.6,65.0,0
match2,athlete1,WM,1677,75.0,5.0,335.4,70.0,0
match2,athlete1,WM,996,80.0,5.0,199.2,75.0,0
match2,athlete1,WM,1649,85.0,5.0,329.8,80.0,0
match2,athlete1,WM,1985,90.0,5.0,397.0,85.0,2
match2,athlete1,WM,2738,95.0,5.0,547.6,90.0,2
match2,athlete1,WM,2452,100.0,5.0,490.4,95.0,2
match2,athlete1,WM,338,102.0,1.0,338.0,101.0,2
match3,athlete1,WM,2520,4.0,4.0,630.0,0.0,0
match3,athlete1,WM,3482,9.0,5.0,696.4,4.0,0
match3,athlete1,WM,2092,14.0,5.0,418.4,9.0,-1
match3,athlete1,WM,2749,19.0,5.0,549.8,14.0,-1
match3,athlete1,WM,1893,24.0,5.0,378.6,19.0,-1
match3,athlete1,WM,2489,28.0,4.0,622.25,24.0,0
match4,athlete1,WM,3035,5.0,5.0,607.0,0.0,0
match4,athlete1,WM,1799,10.0,5.0,359.8,5.0,0
match4,athlete1,WM,2113,15.0,5.0,422.6,10.0,0
match4,athlete1,WM,2514,20.0,5.0,502.8,15.0,0
match4,athlete1,WM,2691,25.0,5.0,538.2,20.0,-1
match4,athlete1,WM,2491,30.0,5.0,498.2,25.0,-1
match4,athlete1,WM,2211,35.0,5.0,442.2,30.0,-1
match4,athlete1,WM,2271,40.0,5.0,454.2,35.0,-1
match4,athlete1,WM,2483,45.0,5.0,496.6,40.0,-1
match4,athlete1,WM,2476,49.0,4.0,619.0,45.0,-1
match4,athlete1,WM,2523,54.0,5.0,504.6,49.0,-1
match4,athlete1,WM,2091,59.0,5.0,418.2,54.0,-1
match4,athlete1,WM,2575,64.0,5.0,515.0,59.0,-1
match4,athlete1,WM,2741,69.0,5.0,548.2,64.0,-1
match4,athlete1,WM,2976,74.0,5.0,595.2,69.0,-1
match4,athlete1,WM,2389,79.0,5.0,477.8,74.0,-1
match4,athlete1,WM,2863,84.0,5.0,572.6,79.0,-1
match4,athlete1,WM,1428,86.0,2.0,714.0,84.0,-1
match5,athlete1,WM,1981,3.0,3.0,660.3333333333334,0.0,0
match5,athlete1,WM,2152,8.0,5.0,430.4,3.0,0
match5,athlete1,WM,2748,13.0,5.0,549.6,8.0,0
match5,athlete1,WM,2144,18.0,5.0,428.8,13.0,0
match5,athlete1,WM,2528,23.0,5.0,505.6,18.0,0
match5,athlete1,WM,2590,28.0,5.0,518.0,23.0,0
match5,athlete1,WM,2678,33.0,5.0,535.6,28.0,0
match5,athlete1,WM,2940,38.0,5.0,588.0,33.0,0
match5,athlete1,WM,2138,43.0,5.0,427.6,38.0,0
match5,athlete1,WM,867,47.0,3.0,289.0,44.0,0
match6,athlete1,WM,1906,4.0,4.0,476.5,0.0,0
match6,athlete1,WM,2294,9.0,5.0,458.8,4.0,0
match6,athlete1,WM,2804,14.0,5.0,560.8,9.0,0
match6,athlete1,WM,3036,19.0,5.0,607.2,14.0,0
match6,athlete1,WM,2876,24.0,5.0,575.2,19.0,0
match6,athlete1,WM,2637,29.0,5.0,527.4,24.0,1
match6,athlete1,WM,2520,34.0,5.0,504.0,29.0,1
match6,athlete1,WM,2798,39.0,5.0,559.6,34.0,1
match6,athlete1,WM,2840,44.0,5.0,568.0,39.0,1
match6,athlete1,WM,1548,49.0,5.0,309.6,44.0,2
match6,athlete1,WM,2358,54.0,5.0,471.6,49.0,2
match6,athlete1,WM,3203,59.0,5.0,640.6,54.0,1
match6,athlete1,WM,2840,64.0,5.0,568.0,59.0,1
match6,athlete1,WM,2115,69.0,5.0,423.0,64.0,1
match6,athlete1,WM,2681,74.0,5.0,536.2,69.0,1
match6,athlete1,WM,2673,79.0,5.0,534.6,74.0,1
match6,athlete1,WM,1419,84.0,5.0,283.8,79.0,1
match6,athlete1,WM,2606,89.0,5.0,521.2,84.0,1
match6,athlete1,WM,2192,94.0,5.0,438.4,89.0,1
match6,athlete1,WM,1337,99.0,5.0,267.4,94.0,1
match6,athlete1,WM,1589,103.0,4.0,397.25,99.0,1
match7,athlete1,WM,1997,5.0,5.0,399.4,0.0,0
match7,athlete1,WM,2804,10.0,5.0,560.8,5.0,0
match7,athlete1,WM,3303,15.0,5.0,660.6,10.0,0
match7,athlete1,WM,1724,20.0,5.0,344.8,15.0,0
match7,athlete1,WM,2444,25.0,5.0,488.8,20.0,0
match7,athlete1,WM,2143,30.0,5.0,428.6,25.0,0
match7,athlete1,WM,1758,35.0,5.0,351.6,30.0,0
match7,athlete1,WM,2577,40.0,5.0,515.4,35.0,0
match7,athlete1,WM,2519,45.0,5.0,503.8,40.0,0
match7,athlete1,WM,1900,49.0,4.0,475.0,45.0,0
match7,athlete1,WM,2710,54.0,5.0,542.0,49.0,0
match7,athlete1,WM,2840,59.0,5.0,568.0,54.0,0
match7,athlete1,WM,1150,64.0,5.0,230.0,59.0,0
match7,athlete1,WM,2389,69.0,5.0,477.8,64.0,-1
match7,athlete1,WM,1825,74.0,5.0,365.0,69.0,-1
match7,athlete1,WM,2638,79.0,5.0,527.6,74.0,-1
match7,athlete1,WM,2540,84.0,5.0,508.0,79.0,0
match7,athlete1,WM,1677,89.0,5.0,335.4,84.0,0
match7,athlete1,WM,2586,94.0,5.0,517.2,89.0,1
match7,athlete1,WM,1292,97.0,3.0,430.6666666666667,94.0,1
match8,athlete1,WM,2831,5.0,5.0,566.2,0.0,0
match8,athlete1,WM,2971,10.0,5.0,594.2,5.0,0
match8,athlete1,WM,2624,15.0,5.0,524.8,10.0,0
match8,athlete1,WM,2479,20.0,5.0,495.8,15.0,0
match8,athlete1,WM,2064,25.0,5.0,412.8,20.0,0
match8,athlete1,WM,2112,30.0,5.0,422.4,25.0,0
match8,athlete1,WM,2157,35.0,5.0,431.4,30.0,-1
match8,athlete1,WM,2516,40.0,5.0,503.2,35.0,-1
match8,athlete1,WM,2232,45.0,5.0,446.4,40.0,-2
match8,athlete1,WM,1131,50.0,5.0,226.2,45.0,-2
match8,athlete1,WM,2925,55.0,5.0,585.0,50.0,-2
match8,athlete1,WM,3164,60.0,5.0,632.8,55.0,-2
match8,athlete1,WM,2429,65.0,5.0,485.8,60.0,0
match8,athlete1,WM,2251,70.0,5.0,450.2,65.0,0
match8,athlete1,WM,2396,75.0,5.0,479.2,70.0,0
match8,athlete1,WM,2105,80.0,5.0,421.0,75.0,0
match8,athlete1,WM,2129,85.0,5.0,425.8,80.0,0
match8,athlete1,WM,2112,90.0,5.0,422.4,85.0,0
match8,athlete1,WM,1883,94.0,5.0,376.6,89.0,0
match8,athlete1,WM,1060,100.0,5.0,212.0,95.0,0
match8,athlete1,WM,1027,104.0,5.0,205.4,99.0,0
match8,athlete1,WM,476,107.0,2.0,238.0,105.0,0
match9,athlete1,WM,2840,5.0,5.0,568.0,0.0,0
match9,athlete1,WM,2479,10.0,5.0,495.8,5.0,0
match9,athlete1,WM,2338,15.0,5.0,467.6,10.0,0
match9,athlete1,WM,2777,20.0,5.0,555.4,15.0,-1
match9,athlete1,WM,2090,25.0,5.0,418.0,20.0,-1
match9,athlete1,WM,2335,30.0,5.0,467.0,25.0,-1
match9,athlete1,WM,2750,35.0,5.0,550.0,30.0,-1
match9,athlete1,WM,2456,40.0,5.0,491.2,35.0,-1
match9,athlete1,WM,2546,45.0,5.0,509.2,40.0,-1
match9,athlete1,WM,625,50.0,5.0,125.0,45.0,-1
match9,athlete1,WM,2418,55.0,5.0,483.6,50.0,0
match9,athlete1,WM,1898,60.0,5.0,379.6,55.0,0
match9,athlete1,WM,2429,65.0,5.0,485.8,60.0,1
match9,athlete1,WM,1784,70.0,5.0,356.8,65.0,1
match9,athlete1,WM,2809,75.0,5.0,561.8,70.0,1
match9,athlete1,WM,2147,80.0,5.0,429.4,75.0,1
match9,athlete1,WM,2396,85.0,5.0,479.2,80.0,1
match9,athlete1,WM,2250,90.0,5.0,450.0,85.0,1
match9,athlete1,WM,1146,93.0,3.0,382.0,90.0,1
match10,athlete1,WM,3045,5.0,5.0,609.0,0.0,0
match10,athlete1,WM,2514,10.0,5.0,502.8,5.0,0
match10,athlete1,WM,2718,15.0,5.0,543.6,10.0,0
match10,athlete1,WM,1775,20.0,5.0,355.0,15.0,0
match10,athlete1,WM,2061,25.0,5.0,412.2,20.0,0
match10,athlete1,WM,2098,30.0,5.0,419.6,25.0,0
match10,athlete1,WM,2687,35.0,5.0,537.4,30.0,0
match10,athlete1,WM,2053,40.0,5.0,410.6,35.0,0
match10,athlete1,WM,2369,45.0,5.0,473.8,40.0,0
match10,athlete1,WM,1095,47.0,2.0,547.5,45.0,2
match10,athlete1,WM,2181,51.0,3.0,727.0,48.0,2
match11,athlete1,WM,1985,5.0,5.0,397.0,0.0,0
match11,athlete1,WM,3082,10.0,5.0,616.4,5.0,0
match11,athlete1,WM,2822,15.0,5.0,564.4,10.0,1
match11,athlete1,WM,2802,20.0,5.0,560.4,15.0,1
match11,athlete1,WM,2742,25.0,5.0,548.4,20.0,1
match11,athlete1,WM,3235,30.0,5.0,647.0,25.0,1
match11,athlete1,WM,2394,35.0,5.0,478.8,30.0,1
match11,athlete1,WM,3128,40.0,5.0,625.6,35.0,1
match11,athlete1,WM,2236,45.0,5.0,447.2,40.0,1
match11,athlete1,WM,1337,48.0,3.0,445.6666666666667,45.0,2
match11,athlete1,WM,2601,53.0,5.0,520.2,48.0,2
match11,athlete1,WM,2547,58.0,5.0,509.4,53.0,2
match11,athlete1,WM,1966,63.0,5.0,393.2,58.0,2
match11,athlete1,WM,1030,68.0,5.0,206.0,63.0,2
match11,athlete1,WM,1845,73.0,5.0,369.0,68.0,1
match11,athlete1,WM,1308,78.0,5.0,261.6,73.0,1
match11,athlete1,WM,2242,83.0,5.0,448.4,78.0,1
match11,athlete1,WM,2217,88.0,5.0,443.4,83.0,0
match11,athlete1,WM,1513,93.0,5.0,302.6,88.0,0
match11,athlete1,WM,2486,98.0,5.0,497.2,93.0,0
match12,athlete1,WM,2441,5.0,5.0,488.2,0.0,0
match12,athlete1,WM,2707,10.0,5.0,541.4,5.0,0
match12,athlete1,WM,2870,15.0,5.0,574.0,10.0,0
match12,athlete1,WM,2165,20.0,5.0,433.0,15.0,-1
match12,athlete1,WM,3183,25.0,5.0,636.6,20.0,-1
match12,athlete1,WM,2096,30.0,5.0,419.2,25.0,-1
match12,athlete1,WM,2809,35.0,5.0,561.8,30.0,-1
match12,athlete1,WM,2711,40.0,5.0,542.2,35.0,-1
match12,athlete1,WM,2268,45.0,5.0,453.6,40.0,-1
match12,athlete1,WM,2320,50.0,5.0,464.0,45.0,-1
match12,athlete1,WM,206,51.0,1.0,206.0,50.0,-1
match13,athlete1,WM,3375,5.0,5.0,675.0,0.0,0
match13,athlete1,WM,2885,10.0,5.0,577.0,5.0,0
match13,athlete1,WM,3521,15.0,5.0,704.2,10.0,0
match13,athlete1,WM,2294,20.0,5.0,458.8,15.0,0
match13,athlete1,WM,2461,25.0,5.0,492.2,20.0,0
match13,athlete1,WM,3026,30.0,5.0,605.2,25.0,0
match13,athlete1,WM,3029,35.0,5.0,605.8,30.0,0
match13,athlete1,WM,3199,40.0,5.0,639.8,35.0,0
match13,athlete1,WM,2499,45.0,5.0,499.8,40.0,0
match13,athlete1,WM,800,48.0,3.0,266.6666666666667,45.0,1
match13,athlete1,WM,2002,53.0,5.0,400.4,48.0,1
match13,athlete1,WM,3212,58.0,5.0,642.4,53.0,1
match13,athlete1,WM,2808,63.0,5.0,561.6,58.0,1
match13,athlete1,WM,2714,68.0,5.0,542.8,63.0,1
match13,athlete1,WM,2079,73.0,5.0,415.8,68.0,2
match13,athlete1,WM,2398,78.0,5.0,479.6,73.0,2
match13,athlete1,WM,2172,83.0,5.0,434.4,78.0,2
match13,athlete1,WM,2096,88.0,5.0,419.2,83.0,2
match13,athlete1,WM,2647,93.0,5.0,529.4,88.0,2
match13,athlete1,WM,2571,98.0,5.0,514.2,93.0,2
match13,athlete1,WM,510,103.0,5.0,102.0,98.0,2
match13,athlete1,WM,834,104.0,1.0,834.0,103.0,2
match14,athlete1,WM,2786,5.0,5.0,557.2,0.0,0
match14,athlete1,WM,3013,10.0,5.0,602.6,5.0,0
match14,athlete1,WM,2086,15.0,5.0,417.2,10.0,0
match14,athlete1,WM,2314,20.0,5.0,462.8,15.0,0
match14,athlete1,WM,2684,25.0,5.0,536.8,20.0,0
match14,athlete1,WM,1669,30.0,5.0,333.8,25.0,0
match14,athlete1,WM,2310,35.0,5.0,462.0,30.0,0
match14,athlete1,WM,2207,40.0,5.0,441.4,35.0,0
match14,athlete1,WM,2497,45.0,5.0,499.4,40.0,0
match14,athlete1,WM,1088,47.0,3.0,362.6666666666667,44.0,0
match14,athlete1,WM,2475,52.0,5.0,495.0,47.0,1
match14,athlete1,WM,2686,57.0,5.0,537.2,52.0,1
match14,athlete1,WM,2844,62.0,5.0,568.8,57.0,1
match14,athlete1,WM,2431,67.0,5.0,486.2,62.0,1
match14,athlete1,WM,2229,72.0,5.0,445.8,67.0,1
